,English,SimplifiedChinese,TraditionalChinese,Russian
Dendro Pile,Dendro Pile,三相众物,三相眾物,Dendro Pile
Dendro Rock,Dendro Rock,草石块,草石塊,Dendro Rock
Dendrobium,Dendrobium,血斛,血斛,Кровоцвет
Dendroculus,Dendroculus,草神瞳,草神瞳,Дендрокулус
Dendrogranum,Dendrogranum,草种子,草種子,Dendrogranum
Descend HotKey,Descend HotKey,下降热键(暂),下降熱鍵(暫),Descend HotKey
Description,Description,描述,描述,Описание
Desert Fox,Desert Fox,沙狐,沙狐,Desert Fox
Destroy,Destroy,摧毁,摧毀,Разрушать
"Destroy Ancient Rime, Large and Small Rock Piles","Destroy Ancient Rime, Large and Small Rock Piles",摧毁 雪山大冰块、大小石堆。,摧毀 雪山大冰塊、大小石堆。,"Разрушать Доисторический лёд, Огромные и малые кучи камней"
Destroy Bomb,Destroy Bomb,引爆炸药桶,摧毀炸藥桶,Разрушать бомбу
"Destroy Chests with Brambles, Frozen, or In Rocks","Destroy Chests with Brambles, Frozen, or In Rocks",摧毁 宝箱上的荆棘、冰块、石头。,摧毀 寶箱上的荊棘、冰塊、石頭。,"Разрушать сундуки в Корнях, Замороженные, или Каменные"
Destroy Spec Chests,Destroy Spec Chests,摧毁特殊宝箱,摧毀特殊寶箱,Разрушать специальные сундуки
Destroy Specs,Destroy Specs,摧毁特殊宝箱,摧毀特殊寶箱,Destroy Specs
Destroy doodads,Destroy doodads,摧毁杂物,摧毀雜物,Destroy doodads
Destroy ores,Destroy ores,摧毁矿石,摧毀礦石,Разрушать руды
Destroy plants,Destroy plants,摧毁植物,摧毀植物,Разрушать растения
Destroy shields,Destroy shields,摧毁护盾,摧毀護盾,Разрушать щиты
Detect delay (ms),Detect delay (ms),检测延迟(ms),檢測延遲(ms),Detect delay (ms)
Detect gathered items,Detect gathered items,检测收集到的物品,檢測收集到的物品,Detect gathered items
Detect new items,Detect new items,检测新物品,檢測新物品,Detect new items
Detect objects only for showed filters.,Detect objects only for showed filters.,仅为显示的过滤器检测.,僅為顯示的過濾器檢測.,Detect objects only for showed filters.
Detect only showed,Detect only showed,仅检测显示的物品,僅檢測顯示的物品,Detect only showed
Detect range,Detect range,检测范围,檢測範圍,Detect range
"Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example.","开发: 为了满足工作需要，为具有指定名称的命名管道提供服务器。
检查 数据包处理程序 项目，例如示例。","開發: 為了滿足工作需要，為具有指定名稱的命名管道提供伺服器。
檢查 封包處理程式 項目，如範例。","Dev: for working needs server for named pipe with specified name.
Check 'packet-handler' project like example."
Dialog,Dialog,对话框,對話框,Диалог
Diluc,Diluc,迪卢克,迪盧克,Diluc
Diona,Diona,迪奥娜,迪奧娜,Diona
Disable Protection,Disable Protection,关闭保护,關閉保護,Отключить Защиту
"Disable cooldown of bow charge.
Known issues with Fischl.","Disable cooldown of bow charge.
Known issues with Fischl.","删除弓箭蓄力所需要的时间。
目前 菲谢尔 存在bug。","刪除弓箭蓄力所需要的時間。
目前 菲謝爾 存在bug。","Отключить время зарядки лука.
Известны проблемы с Фишль."
Disabled,Disabled,关闭,關閉,Disabled
Disables player animations.,Disables player animations.,关闭玩家动画。允许空中释放技能,關閉玩家動畫,Отключить анимацию персонажа.
Discord invite link,Discord invite link,Discord邀请链接,Discord邀請連結,Discord invite link
Distance (m),Distance (m),距离(米),距離(米),Дистанция (m)
"Distance between the player and the loot.
Values under 1.5 may be too intruding.","Distance between the player and the loot.
Values under 1.5 may be too intruding.","玩家与物品间的距离。
范围低于1.5m也许会有所影响。","玩家與物品間的距離。
範圍低於1.5m也許會有所影響。","Дистанция между пероснажем и предметом.
Значения ниже 1.5 может быть слишком навязчивым."
Distance between the player and the monster.,Distance between the player and the monster.,怪物与玩家间的距离,怪物與玩家間的距離,Дистанция между персонажем и монстром.
"Do fix positions to nearest to point.
Only items with green line support this function.","Do fix positions to nearest to point.
Only items with green line support this function.","将位置固定到离点最近的位置。
只有带绿线的项目支持此功能。","將位置固定到離點最近的位置。
只有帶綠線的項目支持此功能。","Do fix positions to nearest to point.
Only items with green line support this function."
Dodoco Tales,Dodoco Tales,嘟嘟可故事集,嘟嘟可故事集,Dodoco Tales
Dog,Dog,狗,狗,Собака
Domain,Domain,秘境,秘境,Domain
Don't remove collisions,Don't remove collisions,不要移除碰撞体,不要移除碰撞體,Don't remove collisions
Doodads,Doodads,杂物,雜物,Doodads
Dori,Dori,多莉,多莉,Dori
Down,Down,下,下,Вниз
Dragon's Bane,Dragon's Bane,匣里灭辰,匣里滅辰,Dragon's Bane
Dragonspine Spear,Dragonspine Spear,龙脊长枪,龍脊長槍,Dragonspine Spear
Draw Distance,Draw Distance,显示距离,顯示距離,Отображать расстояние
Draw Health,Draw Health,显示生命值,顯示生命值,Отображать здоровье
Draw Mode,Draw Mode,绘制模式,繪制模式,Режим отображения
Draw Name,Draw Name,显示名称,顯示名稱,Отображать имя
Draw distance of object.,Draw distance of object.,显示与物体的距离,顯示與物體的距離,Отображать расстояние до объекта.
Draw health of object.,Draw health of object.,显示物体的生命值,顯示物體的生命值,Отображать здоровье объекта.
Draw name of object.,Draw name of object.,显示物体的名字,顯示物體的名字,Отображать имя объекта.
Draw tracer from middle part of the screen.,Draw tracer from middle part of the screen.,从屏幕的中间部分开始绘制追踪线,從螢幕的中間部分開始繪制追蹤線,Отображать линии из цетра экрана.
Dress,Dress,穿着,穿著,Одежда
"Dress Texture.
Example path: C:\Dress.png","Dress Texture.
Example path: C:\Dress.png","穿着纹理。
示例路径: C:\Dress.png","穿著材質。
範例路徑: C:\Dress.png","Текстура одежды.
Пример пути: C:\Dress.png"
Drop Items,Drop Items,掉落道具,掉落道具,Drop Items
Drop progress,Drop progress,清理所有进度,清理所有進度,Drop progress
Droppers,Droppers,掉落型,掉落型,Droppers
Dull Blade,Dull Blade,无锋剑,無鋒劍,Dull Blade
Dumb Enemies,Dumb Enemies,敌人变傻,敵人變傻,Глупые враги
Dunlins Tooth,Dunlins Tooth,龙牙,龍牙,Dunlins Tooth
Dupe,Dupe,复制,複製,Dupe
Duplicate Profile,Duplicate Profile,复制配置文件,覆制配置文件,Duplicate Profile
Dusk Bird,Dusk Bird,暝彩鸟,暝彩鳥,Сумеречная птица
Dvalin,Dvalin,风魔龙,風魔龍,Двалин
Dynamic size,Dynamic size,动态大小,動態大小,Dynamic size
ESP,ESP,透视,透視,ESP
ESP Enabled,ESP Enabled,启动透视,啟動透視,ESP Включено
EastCoast,EastCoast,东海岸,东海岸,EastCoast
Eel,Eel,鳗鳗,鰻鰻,Eel
Eight Stone Tablets,Eight Stone Tablets,八块石板,八塊石板,Восемь Каменных Табличек
Electric Conduction,Electric Conduction,电气传导,電氣傳導,Релейный камень
Electro,Electro,雷,雷,Electro
Electro Abyss Lector,Electro Abyss Lector,深渊咏者·紫电,深淵詠者·紫電,Чтец Бездны: Пурпурная молния
Electro Bathysmal Vishap,Electro Bathysmal Vishap,深海龙蜥·吞雷,深海龍蜥·吞雷,Электро вишап глубин
Electro Crystal,Electro Crystal,电气水晶,電氣水晶,Электро кристалл
Electro Crystal Drop,Electro Crystal Drop,电气水晶掉落,電氣水晶掉落,Electro Crystal Drop
Electro Crystalfly,Electro Crystalfly,雷晶蝶,雷晶蝶,Electro Crystalfly
Electro Hypostasis,Electro Hypostasis,无相之雷,無相之雷,Электро гипостазис
Electro Regisvine,Electro Regisvine,掣电树,掣電樹,Электро папоротник
Electro Seelie,Electro Seelie,雷灵,雷靈,Электро фея
Electroculus,Electroculus,雷神瞳,雷神瞳,Электрокул
Electrogranum,Electrogranum,雷种子,雷種子,Электрогранум
Elegy for the End,Elegy for the End,终末嗟叹之诗,終末嗟嘆之詩,Elegy for the End
ElementType,ElementType,元素类型,元素類型,тип элемента
ElementTypes,ElementTypes,元素类型,元素類型,тип элемента
Elemental Monument,Elemental Monument,元素方碑,元素方碑,Элементальный монумент
Elemental Sight,Elemental Sight,元素视野,元素視野,Чувство стихий
"Elemental sight is kept on even when moving.
To turn off, toggle off and use Elemental Sight again.","Elemental sight is kept on even when moving.
To turn off, toggle off and use Elemental Sight again.","永久启用元素视野。
如想要关闭，关闭此选项并使用一次元素视野。","永久啟用元素視野。
如想要關閉，關閉此選項並使用一次元素視野。","Чувство стихий сохранятеся даже при движении.
Чтобы отключить, выключите функцию и снова используйте Чувство стихий."
Elite,Elite,精英,精英,Элитный
Elite enemies.,Elite enemies.,精英级的敌人,精英級的敵人,Элитные враги.
Emerald Finch,Emerald Finch,碧团雀,碧團雀,Emerald Finch
Emerald Orb,Emerald Orb,翡玉法球,翡玉法球,Emerald Orb
Emotion Changer,Emotion Changer,表情修改器,表情修改器,Замена эмоций
Emotions,Emotions,表情,表情,Эмоции
Enable,Enable,启动,啟動,Включить
"Enable Fast Exit.
","Enable Fast Exit.
","启动 快速推出.
","啟動 快速推出.
","Включить быстрый выход.
"
Enable Interpolation,Enable Interpolation,使用插值模式,使用插值模式,Включить Interpolation
Enable Kill Aura,Enable Kill Aura,启动 杀戮光环,啟動 殺戮光環,Включить Kill Aura
Enable Peeking,Enable Peeking,反虚化,反虛化,Enable Peeking
Enable automatic forward teleporation between teleports,Enable automatic forward teleporation between teleports,启用后，自动传送下一个点位。,啟用後，自動傳送下一個點位。,Enable automatic forward teleporation between teleports
"Enable blocking and modifying packets by sniffer, can cause network lags.","Enable blocking and modifying packets by sniffer, can cause network lags.",启动 抓包阻塞和修改数据包，可能会导致网络延迟。,啟動 抓包阻塞和修改封包，可能會導致網絡延遲。,"Включить блокировку и изменение пакетов с помощью сниффера, может привести к задержкам в сети."
"Enable capturing of packet info and sending to pipe, if it exists.","Enable capturing of packet info and sending to pipe, if it exists.",启用 捕获数据包信息并发送到管道(如果存在),啟用 捕獲封包信息並發送到管道(如果存在),"Включить захват информации о пакете и отправку по каналу, если он существует."
Enable chest detection and filters.,Enable chest detection and filters.,启用 宝箱检测和过滤器,啟用 寶箱檢測和過濾器,Enable chest detection and filters.
Enable console for logging information (changes will take effect after relaunch),Enable console for logging information (changes will take effect after relaunch),启用控制台以记录信息(更改将在游戏重新启动后生效),啟用控制台以記錄信息(更改將在遊戲重新啟動後生效),Enable console for logging information (changes will take effect after relaunch)
"Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","启动范围拾取，拾取范围的数值不建议过高，因为它很容易被服务器检测到。

如果要与自动拾取/自动宝藏一起使用，请确保最后打开该选项。","啟動範圍拾取，拾取範圍的數值不建議過高，因為它很容易被伺服器檢測到。

如果要與自動拾取/自動寶藏一起使用，請確保最後打開該選項。","Включить настраиваемый диапазон подбора.
Высокие значения не рекомендуются, посколько это легко обнаруживается сервером.

При использовании с автоподбором/авто-сундуками, включите это в ПОСЛЕДНЮЮ очередь."
"Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","启用随机延迟。
模拟人类点击延迟，因为手动拾取间隔永远不会相同。","啟用隨機延遲。
模擬人類點擊延遲，因為手動拾取間隔永遠不會相同。","Включить варьируемую задержку.
Имитирует человеческую задержку нажатия, посколько ручное нажатие никогда не бывает последовательным."
"Enable detection of unknown items.
You can see these items below, if they exist.","Enable detection of unknown items.
You can see these items below, if they exist.","启用对未知道具的检测。
你可以在下面看到这些道具(如果存在)。","啟用對未知道具的檢測。
你可以在下面看到這些道具(如果存在)。","Enable detection of unknown items.
You can see these items below, if they exist."
"Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","启用文件记录(更改将在游戏重新启动后生效)，
将在应用程序目录中创建一个用于记录的文件夹。","啟用文件記錄(更改將在遊戲重新啟動後生效)，
將在應用程序目錄中創建一個用於記錄的文件夾。","Включить file logging (Изменения вступят в силу после перезапуска).
В директории игры будет создана папка для логов."
Enable hotkeys.,Enable hotkeys.,启用快捷键.,啟用快捷鍵.,Включить горячие клавиши.
Enable interpolation between teleports when using keybinds.,Enable interpolation between teleports when using keybinds.,当使用按键传送时候，会使用插值模式,當使用按鍵傳送時候，會使用插值模式,Enable interpolation between teleports when using keybinds.
"Enable pickup filter.
","Enable pickup filter.
",启用 拾取过滤,啟用 拾取過濾,"Включить фильтр подбора.
"
"Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","启用列表传送功能。
用法:
1.勾选你要传送的传送点
2.单击选择以选择你要开始的位置
3.现在可以通过传送下一个/传送上一个进行传送
会先传送到玩家选择的第一个点位。

注意:点击箭头可以打开详细信息。","啟用列表傳送功能。
用法:
1.勾選你要傳送的傳送點
2.單擊選擇以選擇你要開始的位置
3.現在可以通過傳送下一個/傳送上一個進行傳送
會先傳送到玩家選擇的第一個點位。

注意:點擊箭頭可以打開詳細信息。","Включить функцию телепортации по списку.
Использование:
1. Поставьте галочку напротив телепортов, к которым вы хотите телепортироваться с помощью горячей клавиши
2. Один раз кликните по телепорту (отмеченному галочкой) чтобы выбрать, с какого вы хотите начать
3. Теперь вы можете нажать горячие клавиши Next или Previous чтобы телепортироваться по загруженному списку
Изначально функция телепортирует игрока к выбранным точкам
Примечание: Щёлкните дважды или кликните на стрелку, чтобы открыть детали о телепорте"
"Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","启用 指定地点传送 功能。
用法:
	1.打开地图
	2.按住[传送键]然后鼠标左键点击地图任意位置
	3.你将会被传送到你选择的地方
如果传送到极高的位置，传送可能会出现问题，
应当调整高度避免该情况。","啟用 指定地點傳送 功能。
用法:
	1.打開地圖
	2.按住[傳送鍵]然後鼠標左鍵點擊地圖任意位置
	3.你將會被傳送到你選擇的地方
如果傳送到極高的位置，傳送可能會出現問題，
應當調整高度避免該情況。","Включить функцию телепортации к метке.
Использование: 
	1. Открыть карту.
	2. Удердживать [Кнопку телепортации/Teleport Key] и нажмите левую кнопку мыши в любой точке карты.
	Готово. Вы были телепортированы в выбранное место.
Телепортация может дать сбой при телепортации на слишком высокие места. 
Отрегулируйте Override Height соответствующим образом, чтобы избежать этого."
Enable the Use of Custom HotKeys,Enable the Use of Custom HotKeys,启用自定义热键,啟用自定義熱鍵,Включить использование пользовательских горячих клавиш
Enabled,Enabled,启用,啟用,Включено
Enables attack multipliers. Need to choose a mode to work.,Enables attack multipliers. Need to choose a mode to work.,启动倍攻。需要选择一种倍攻模式。,啟動倍攻。需要選擇一種倍攻模式。,Включает множитель атак. Для работы нужно выбрать режим.
Enables custom camera zoom settings.,Enables custom camera zoom settings.,启动自定义摄像机视距设置,啟動自定義攝像機變焦設置,Включает пользовательские настройки масштабирования камеры
"Enables detecting gathered items.
It works only items what will be gathered after enabling this function.
Only items with blue line support this function.","Enables detecting gathered items.
It works only items what will be gathered after enabling this function.
Only items with blue line support this function.","启用检测收集的项目。
并且它仅适用于启用此功能后将收集的项目，
只有带有蓝线的项目支持此功能。","啟用檢測收集的項目。
並且它僅適用於啟用此功能後將收集的項目，
只有帶有藍線的項目支持此功能。","Enables detecting gathered items.
It works only items what will be gathered after enabling this function.
Only items with blue line support this function."
"Enables detecting items what are not in interactive map data.
","Enables detecting items what are not in interactive map data.
","启用检测不在交互式地图数据中的项目。
只有带绿线的项目支持此功能。","啟用檢測不在互動式地圖數據中的項目。
只有帶綠線的項目支援此功能。","Enables detecting items what are not in interactive map data.
"
"Enables detecting items what are not in interactive map data.
Only items with green line support this function.","Enables detecting items what are not in interactive map data.
Only items with green line support this function.","启用检测不在交互式地图数据中的项目。
只有带绿线的项目支持此功能。","啟用檢測不在互動式地圖數據中的項目。
只有帶綠線的項目支援此功能。","Enables detecting items what are not in interactive map data.
Only items with green line support this function."
Enables fall control,Enables fall control,启动 坠落控制,啟動 墜落控制,Включает контроль падения
"Enables fast animation attacks.
","Enables fast animation attacks.
","启用快速动画攻击
","啟用快速動畫攻擊
","Включает быструю анимацию атак.
"
"Enables god mode when the character's health drops
below the specified minimum.
","Enables god mode when the character's health drops
below the specified minimum.
","当角色的生命值下降到
低于指定的最小值时启用无敌模式。
","當角色的生命值下降到
低於指定的最小值時啟用無敵模式。
","Включает бессмертие, когда здоровье персонажа падает
ниже указанного минимума.
"
"Enables god mode, i.e. no incoming damage including environmental damage.
","Enables god mode, i.e. no incoming damage including environmental damage.
","启用无敌模式: 不会受到伤害包括环境伤害。
","啟用無敵模式: 不會受到傷害包括環境傷害。
","Включает бессмертие, т.е. отключает весь урон персонажу, в том числе от окружающей среды.
"
Enables infinite stamina option.,Enables infinite stamina option.,启动无限体力,啟動無限體力,Включает функцию бесконечной выносливости.
Enables kill aura. Need to choose a mode to work.,Enables kill aura. Need to choose a mode to work.,启动杀戮光环。需要选择一个工作模式。,啟動殺戮光環。需要選擇一個工作模式。,Включает kill aura. Для работы нужно выбрать режим.
"Enables mob vacuum.
Mobs within the specified radius will move
to a specified distance in front of the player.","Enables mob vacuum.
Mobs within the specified radius will move
to a specified distance in front of the player.","启用生物吸附。
指定范围内的生物将移动到玩家前方的指定距离。","啟用生物吸附。
指定範圍內的生物將移動到玩家前方的指定距離。","Включает mob vacuum.
Монстры в указанном радиусе будут перемещены
перед игроком на указанное растояние."
"Enables multi-animation attacks.
Do keep in mind that the character's audio will also be spammed.","Enables multi-animation attacks.
Do keep in mind that the character's audio will also be spammed.","启用多动画攻击。
角色的音频也会触发多重。","啟用多動畫攻擊。
角色的音頻也會觸發多重。","Включает мульти-анимацию атак.
Имейте ввиду, что голос персонажа также будет умножен."
"Enables multi-hit.
Multiplies your attack count.
This is not well tested, and can be detected by anticheat.
Not recommended to be used with main accounts or used with high values.
","Enables multi-hit.
Multiplies your attack count.
This is not well tested, and can be detected by anticheat.
Not recommended to be used with main accounts or used with high values.
","启用多次命中，增加你的攻击计数。
这没有经过充分测试，可以通过反作弊检测到。
不建议用在主帐户上或使用过高的数值。
","啟用多次命中，增加你的攻擊計數。
這沒有經過充分測試，可以通過反作弊檢測到。
不建議用在主帳戶上或使用過高的數值。
","Включает multi-hit.
Умножает количество ваших атак.
Функция недостаточно хорошо протестирована, поэтому может быть обнаружена анти-читом.
Не рекомендуется использовать на основном аккаунте или использовать с высокими значениями.
"
"Enables multi-target attacks within specified radius of target.
All valid targets around initial target will be hit based on setting.
Damage numbers will only appear on initial target but all valid targets are damaged.
If multi-hit is off and there are still multiple numbers on a single target, check the Entity Manager in the Debug section to see if there are invisible entities.
This can cause EXTREME lag and quick bans if used with multi-hit. You are warned.","Enables multi-target attacks within specified radius of target.
All valid targets around initial target will be hit based on setting.
Damage numbers will only appear on initial target but all valid targets are damaged.
If multi-hit is off and there are still multiple numbers on a single target, check the Entity Manager in the Debug section to see if there are invisible entities.
This can cause EXTREME lag and quick bans if used with multi-hit. You are warned.","启用普攻范围将会同时攻击指定范围内的所有敌人。
伤害数字只会出现在初始目标上，但所有范围内的目标都会收到伤害。
如果未开启倍攻但在单个目标上仍有多个伤害数字，请查看[调试]中的[实体管理器]是否存在不可见的实体。
警告: 普攻范围和倍功同时使用可能会导致巨大延迟以及快速被封禁。","啟用多目標攻擊將會同時攻擊指定範圍內的所有敵人。
傷害數字只會出現在初始目標上，但所有範圍內的目標都會收到傷害。
如果未開啟倍攻但在單個目標上仍有多個傷害數字，請查看[調試]中的[實體管理器]是否存在不可見的實體。
警告: 多目標攻擊和倍功同時使用可能會導致巨大延遲以及快速被封禁。","Позволяет проводить атаки по нескольким целям в пределах заданного радиуса от цели.
Все доступные цели вокруг атакуемой цели будут поражены согласно заданным настройкам.
Нанесённый урон будет отображаться только на атакуемой цели, но получат урон все.
Если функция отключена, а над целью всё ещё отображается множество значений, проверьте Entity Manager в разделе Debug чтобы увидеть, есть ли невидимые значения.
Функция может привести к ОГРОМНЫМ зависаниями быстрым банам. Вы предупреждены."
"Enables no-clip (fast speed + no collision).
To move, use WASD, Space (go up), and Shift (go down), or customize your own keys.","Enables no-clip (fast speed + no collision).
To move, use WASD, Space (go up), and Shift (go down), or customize your own keys.","启用自由移动(快速移动+无碰撞)。
移动: WSAD
升高: Space
降低: Shift
或者自定义按键。","啟用自由移動(快速移動+無碰撞)。
移動: WSAD
升高: Space
降低: Shift
或者自定義按鍵。","Включает no-clip (высокая скорость + прохождение сквозь текстуры).
Чтобы передвигаться, используйте WASD, Space (подняться вверх), и Shift (спуститься вниз), или настройте собственные клавиши."
End of the Line,End of the Line,竭泽,竭澤,End of the Line
Enemies,Enemies,敌人,敵人,Enemies
Enemies (Boss),Enemies (Boss),敌人 (Boss),敵人 (Boss),Enemies (Boss)
Enemies (Common),Enemies (Common),敌人 (普通),敵人 (普通),Enemies (Common)
Enemies (Easter Egg),Enemies (Easter Egg),敌人 (彩蛋),敵人 (彩蛋),Enemies (Easter Egg)
Enemies (Elite),Enemies (Elite),敌人 (精英),敵人 (精英),Enemies (Elite)
Enemies (First-Time Victory),Enemies (First-Time Victory),敌人 (初胜),敵人 (初勝),Enemies (First-Time Victory)
"Enemies don't attack or use abilities against player. 
May not work with some enemies or enemy abilities.","Enemies don't attack or use abilities against player. 
May not work with some enemies or enemy abilities.","敌人对玩家攻击或者使用技能。
也许对某些敌人不会生效。","敵人對玩家攻擊或者使用技能。
也許對某些敵人不會生效。","Враги не атакуют и не используют способности против игрока. 
Может не работать с некоторыми врагами или их способностями."
Engulfing Lightning,Engulfing Lightning,薙草之稻光,薙草之稻光,Engulfing Lightning
Enkanomiya Phase Gate,Enkanomiya Phase Gate,渊下宫相位之门,淵下宮相位之門,Фазовые врата Энканомии
Equipment,Equipment,装备,装备,Equipment
Eremite,Eremite,镀金旅团,鍍金旅團,Пустынники
Eula,Eula,优菈,優菈,Eula
Everlasting Moonglow,Everlasting Moonglow,不灭月华,不滅月華,Everlasting Moonglow
Everlight Cell,Everlight Cell,恒光元件,恒光元件,Клетка вечного света
"Everything beside Animals and Drop Items (Plants, Books, etc).","Everything beside Animals and Drop Items (Plants, Books, etc).",除了动物和掉落物品(植物、书籍等)之外的所有东西。,除了動物和掉落物品(植物、書籍等)之外的所有東西。,"Всё, кроме Животных и собираемых предметов (Растений, Книг, и т.д)."
Exc,Exc,排除重要,排除重要,Exc
Exclude Important,Exclude Important,排除 重要的,排除 重要的,Кроме Важных
Exclude Kath/Tubby/Wagner from auto-select.,Exclude Kath/Tubby/Wagner from auto-select.,从自动选择对话选项中 排除 凯瑟琳/壶灵/铁匠。,從自動選擇對話選項中 排除 凱瑟琳/壺靈/鐵匠。,Кроме Катерины/Пухляш/Кузнец в авто-выборе диалогов.
Exclude Katheryne/Tubby/Wagner,Exclude Katheryne/Tubby/Wagner,排除 凯瑟琳/壶灵/铁匠,排除 凱瑟琳/壺靈/鐵匠,Кроме Катерины/Пухляш/Кузнец
Exp,Exp,冒险阅历,冒險閱歷,Опыт
Exp bar,Exp bar,冒险阅历经验条,冒險閱歷經驗條,Полоска опыта
ExpBar,ExpBar,冒险阅历经验条,冒險閱歷經驗條,Полоска опыта
ExpBarValue,ExpBarValue,冒险阅历经验条数值,冒險閱歷經驗條數值,Значение полоски опыта
Experience,Experience,经历,经历,Experience
Export,Export,导出,導出,Export
Exquisite,Exquisite,精致,精致,Богатый
Exquisite Chest,Exquisite Chest,精致的宝箱,精致的寶箱,Exquisite Chest
Extreme,Extreme,即死,即死,Extreme
Eye Of The Storm,Eye Of The Storm,狂风之核,狂風之核,Глаз бури
Eye of Perception,Eye of Perception,昭心,昭心,Eye of Perception
Eye of the Storm,Eye of the Storm,狂风之核,狂風之核,Eye of the Storm
FL,FL,随机,隨機,FL
FOV Smoothing,FOV Smoothing,FOV平滑度,FOV平滑度,FOV Smoothing
FOV Speed,FOV Speed,视野速度,視野速度,FOV Speed
FPS,FPS,帧率,幀率,FPS
FPS Limit,FPS Limit,FPS帧率限制,FPS幀率限制,FPS Limit
FPS Unlock,FPS Unlock,FPS帧率解锁,FPS幀率解鎖,FPS Unlock
FPS indicator,FPS indicator,FPS指示器,FPS指示器,FPS indicator
Fading Twilight,Fading Twilight,落霞,落霞,Fading Twilight
Fake Time,Fake Time,伪装时间,鎖定時間,Fake Time
Falcon,Falcon,茶羽鹰,茶羽鷹,Ястреб
Fall-Control,Fall-Control,坠落控制,墜落控制,Контроль падения (fall-control)
Fast,Fast,快速,快速,Быстро
"Fast Cooking if the recipe has fast cooking open. 
If fast cooking is closed, you in addition need to turn on Fast Proficiency.","Fast Cooking if the recipe has fast cooking open. 
If fast cooking is closed, you in addition need to turn on Fast Proficiency.","自动烹饪，如果食谱已经解锁自动烹饪。
如果未解锁自动烹饪，你需要打开 快速熟练。","自動烹飪，如果食譜已經解鎖自動烹飪。
如果未解鎖自動烹飪，你需要打開 快速熟練。","Fast Cooking if the recipe has fast cooking open. 
If fast cooking is closed, you in addition need to turn on Fast Proficiency."
Fast Dialog,Fast Dialog,对话加速,對話加速,Быстрый диалоги
Fast Exit,Fast Exit,快速退出,快速退出,Быстрый Выход
Fast Proficiency,Fast Proficiency,快速熟练,快速熟練,Fast Proficiency
Fatui Agent,Fatui Agent,债务处理人,債務處理人,Агент Фатуи
Fatui Cicin Mage,Fatui Cicin Mage,莹术士,瑩術士,Маг цицин
Fatui Mirror Maiden,Fatui Mirror Maiden,藏镜仕女,藏鏡仕女,Зеркальная дева фатуи
Fatui Skirmisher,Fatui Skirmisher,愚人众先遣队,愚人眾先遣隊,Застрельщик фатуи
Favonius Codex,Favonius Codex,西风秘典,西風秘典,Favonius Codex
Favonius Greatsword,Favonius Greatsword,西风大剑,西風大劍,Favonius Greatsword
Favonius Lance,Favonius Lance,西风长枪,西風長槍,Favonius Lance
Favonius Sword,Favonius Sword,西风剑,西風劍,Favonius Sword
Favonius Warbow,Favonius Warbow,西风猎弓,西風獵弓,Favonius Warbow
Featured,Featured,功能(暂),功能(暫),Избранное
Ferrous Shadow,Ferrous Shadow,铁影阔剑,鐵影闊劍,Ferrous Shadow
Festering Desire,Festering Desire,腐殖之剑,腐殖之劍,Festering Desire
Field of View,Field of View,视野范围,視野範圍,Угол обзора
File Logging,File Logging,文件日志,文件日誌,File Logging
Fill Box/Rectangle/Arrows,Fill Box/Rectangle/Arrows,填充 边框/长方形/箭头,填充 邊框/長方形/箭頭,Заполнить Box/Rectangle/Arrows
Fill Transparency,Fill Transparency,填充透明度,填充透明度,Заполнить Прозрачность
Fillet Blade,Fillet Blade,吃虎鱼刀,吃虎魚刀,Fillet Blade
Filter Oculus,Filter Oculus,过滤神瞳,過濾神瞳,Фильтр Окусулов
Filters,Filters,过滤器,過濾器,Filters
Finch,Finch,金团雀,金團雀,Воробей
Fir Wood,Fir Wood,杉木,杉木,Fir Wood
Fischl,Fischl,菲谢尔,菲謝爾,Fischl
